Image,Caption,Rights
urn:cite:bnf:gr2706img.bnf2706_img98,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 44 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img99,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 45 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img100,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 45 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img101,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 46 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img102,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 46 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img103,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 47 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img104,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 47 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img105,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 48 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img106,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 48 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img107,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 49 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img108,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 49 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img109,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 50 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img110,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 50 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img111,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 51 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img112,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 51 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img113,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 52 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img114,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 52 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img115,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 53 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img116,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 53 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img117,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 54 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img118,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 54 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img119,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 55 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img120,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 55 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img121,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 56 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img122,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 56 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img123,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 57 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img124,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 57 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img125,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 58 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img126,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 58 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img127,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 59 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img128,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 59 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img129,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 60 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img130,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 60 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img131,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 61 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img132,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 61 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img133,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 62 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img134,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 62 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
